machine_id,machine_type,date,shift,production_rate,production_count,quality_score,downtime_minutes,operating_status
M-01,CNC,2026-05-12,Morning,41.91,335,98.01,0,RUNNING
M-01,CNC,2026-05-12,Night,42.46,340,99.08,0,RUNNING
M-01,CNC,2026-05-13,Afternoon,38.7,310,97.64,0,RUNNING
M-01,CNC,2026-05-13,Morning,41.95,336,99.13,0,RUNNING
M-01,CNC,2026-05-13,Night,42.11,337,95.4,0,RUNNING
M-01,CNC,2026-05-14,Afternoon,41.72,334,96.71,0,RUNNING
M-01,CNC,2026-05-14,Morning,42.12,337,92.02,0,RUNNING
M-01,CNC,2026-05-14,Night,43.86,351,94.96,0,RUNNING
M-01,CNC,2026-05-15,Afternoon,43.15,345,96.66,0,RUNNING
M-01,CNC,2026-05-15,Morning,40.98,328,95.0,0,RUNNING
M-01,CNC,2026-05-15,Night,41.33,331,97.03,0,RUNNING
M-01,CNC,2026-05-16,Afternoon,41.12,329,95.56,0,RUNNING
M-01,CNC,2026-05-16,Morning,42.12,337,97.94,0,RUNNING
M-01,CNC,2026-05-16,Night,41.51,332,93.07,0,RUNNING
M-01,CNC,2026-05-17,Afternoon,40.51,324,93.39,0,RUNNING
M-01,CNC,2026-05-17,Morning,40.86,327,94.38,0,RUNNING
M-01,CNC,2026-05-17,Night,38.78,310,93.02,0,RUNNING
M-01,CNC,2026-05-18,Afternoon,38.81,310,92.52,0,RUNNING
M-01,CNC,2026-05-18,Morning,38.6,309,90.11,0,RUNNING
M-01,CNC,2026-05-18,Night,41.21,330,92.06,0,RUNNING
M-01,CNC,2026-05-19,Afternoon,35.34,283,89.52,0,RUNNING
M-01,CNC,2026-05-19,Morning,37.79,302,89.42,0,RUNNING
M-01,CNC,2026-05-19,Night,37.57,301,94.5,0,RUNNING
M-01,CNC,2026-05-20,Afternoon,35.96,288,85.09,0,RUNNING
M-01,CNC,2026-05-20,Morning,35.79,286,88.03,0,RUNNING
M-01,CNC,2026-05-20,Night,37.23,298,88.93,0,RUNNING
M-01,CNC,2026-05-21,Afternoon,35.95,288,82.48,0,RUNNING
M-01,CNC,2026-05-21,Morning,35.32,336,83.47,0,RUNNING
M-01,CNC,2026-05-21,Night,35.11,281,89.67,0,RUNNING
M-01,CNC,2026-05-22,Afternoon,33.1,265,82.14,0,RUNNING
M-01,CNC,2026-05-22,Morning,32.02,256,82.01,0,RUNNING
M-01,CNC,2026-05-22,Night,31.46,252,83.28,0,RUNNING
M-01,CNC,2026-05-23,Afternoon,40.84,0,99.1,480,DOWN
M-01,CNC,2026-05-23,Morning,40.66,0,96.95,480,DOWN
M-01,CNC,2026-05-23,Night,41.01,0,95.36,480,DOWN
M-01,CNC,2026-05-24,Afternoon,42.29,338,98.61,0,RUNNING
M-01,CNC,2026-05-24,Morning,43.03,344,93.54,0,RUNNING
M-01,CNC,2026-05-24,Night,39.97,320,96.37,0,RUNNING
M-01,CNC,2026-05-25,Afternoon,40.44,324,93.36,0,RUNNING
M-01,CNC,2026-05-25,Morning,42.33,339,97.56,0,RUNNING
M-01,CNC,2026-05-25,Night,42.66,341,96.59,0,RUNNING
M-01,CNC,2026-05-26,Afternoon,41.14,329,96.46,0,RUNNING
M-01,CNC,2026-05-26,Morning,42.32,339,96.69,0,RUNNING
M-01,CNC,2026-05-26,Night,42.37,339,94.57,0,RUNNING
M-01,CNC,2026-05-27,Afternoon,40.5,324,97.31,0,RUNNING
M-01,CNC,2026-05-27,Morning,44.35,355,96.95,0,RUNNING
M-01,CNC,2026-05-27,Night,40.77,326,97.57,0,RUNNING
M-01,CNC,2026-05-28,Afternoon,43.21,346,96.83,0,RUNNING
M-01,CNC,2026-05-28,Morning,43.46,348,94.36,0,RUNNING
M-01,CNC,2026-05-28,Night,43.04,344,99.79,0,RUNNING
M-01,CNC,2026-05-29,Afternoon,40.88,327,94.37,0,RUNNING
M-01,CNC,2026-05-29,Morning,41.69,334,94.49,0,RUNNING
M-01,CNC,2026-05-29,Night,41.9,335,96.68,0,RUNNING
M-01,CNC,2026-05-30,Afternoon,42.02,336,98.91,0,RUNNING
M-01,CNC,2026-05-30,Morning,42.35,339,97.65,0,RUNNING
M-01,CNC,2026-05-30,Night,41.67,333,100.0,0,RUNNING
M-01,CNC,2026-05-31,Afternoon,40.65,325,96.96,0,RUNNING
M-01,CNC,2026-05-31,Morning,42.79,342,94.29,0,RUNNING
M-01,CNC,2026-05-31,Night,41.72,334,97.43,0,RUNNING
M-01,CNC,2026-06-01,Afternoon,40.93,327,92.97,0,RUNNING
M-01,CNC,2026-06-01,Morning,42.6,341,95.85,0,RUNNING
M-01,CNC,2026-06-01,Night,41.44,331,97.71,0,RUNNING
M-01,CNC,2026-06-02,Afternoon,42.22,338,96.77,0,RUNNING
M-01,CNC,2026-06-02,Morning,42.27,338,93.51,0,RUNNING
M-01,CNC,2026-06-02,Night,40.89,327,96.31,0,RUNNING
M-01,CNC,2026-06-03,Afternoon,42.45,340,97.12,0,RUNNING
M-01,CNC,2026-06-03,Morning,42.07,337,93.71,0,RUNNING
M-01,CNC,2026-06-03,Night,43.36,347,95.56,0,RUNNING
M-01,CNC,2026-06-04,Afternoon,42.65,341,97.03,0,RUNNING
M-01,CNC,2026-06-04,Morning,40.26,322,94.12,0,RUNNING
M-01,CNC,2026-06-04,Night,42.65,341,100.0,0,RUNNING
M-01,CNC,2026-06-05,Afternoon,43.2,346,97.3,0,RUNNING
M-01,CNC,2026-06-05,Morning,42.72,342,98.27,0,RUNNING
M-01,CNC,2026-06-05,Night,41.6,333,97.52,0,RUNNING
M-01,CNC,2026-06-06,Afternoon,41.39,331,96.16,0,RUNNING
M-01,CNC,2026-06-06,Morning,41.03,328,95.53,0,RUNNING
M-01,CNC,2026-06-06,Night,44.92,359,92.27,0,RUNNING
M-01,CNC,2026-06-07,Afternoon,41.41,331,98.18,0,RUNNING
M-01,CNC,2026-06-07,Morning,42.86,343,92.77,0,RUNNING
M-01,CNC,2026-06-07,Night,42.08,337,93.84,0,RUNNING
M-01,CNC,2026-06-08,Afternoon,41.08,329,96.43,0,RUNNING
M-01,CNC,2026-06-08,Morning,41.1,329,97.36,0,RUNNING
M-01,CNC,2026-06-08,Night,42.06,336,94.7,0,RUNNING
M-01,CNC,2026-06-09,Afternoon,39.45,316,96.37,0,RUNNING
M-01,CNC,2026-06-09,Morning,44.7,358,97.27,0,RUNNING
M-01,CNC,2026-06-09,Night,41.17,329,97.7,0,RUNNING
M-01,CNC,2026-06-10,Afternoon,42.64,341,97.73,0,RUNNING
M-01,CNC,2026-06-10,Morning,41.0,328,95.77,0,RUNNING
M-01,CNC,2026-06-10,Night,40.49,324,95.33,0,RUNNING
M-01,CNC,2026-06-11,Afternoon,44.22,354,96.81,0,RUNNING
M-01,CNC,2026-06-11,Morning,41.4,331,94.69,0,RUNNING
M-01,CNC,2026-06-11,Night,40.41,323,97.84,0,RUNNING
M-01,CNC,2026-06-12,Afternoon,40.09,321,95.03,0,RUNNING
M-01,CNC,2026-06-12,Morning,44.67,357,98.06,0,RUNNING
M-01,CNC,2026-06-12,Night,43.6,349,94.58,0,RUNNING
M-01,CNC,2026-06-13,Afternoon,40.83,327,95.88,0,RUNNING
M-01,CNC,2026-06-13,Morning,42.56,340,97.55,0,RUNNING
M-01,CNC,2026-06-13,Night,37.92,303,93.95,0,RUNNING
M-01,CNC,2026-06-14,Afternoon,44.06,352,93.14,0,RUNNING
M-01,CNC,2026-06-14,Morning,41.68,333,93.5,0,RUNNING
M-01,CNC,2026-06-14,Night,41.45,332,96.26,0,RUNNING
M-01,CNC,2026-06-15,Afternoon,43.47,348,96.02,0,RUNNING
M-01,CNC,2026-06-15,Morning,43.82,351,95.56,0,RUNNING
M-01,CNC,2026-06-15,Night,40.76,326,96.92,0,RUNNING
M-01,CNC,2026-06-16,Afternoon,42.09,337,95.23,0,RUNNING
M-01,CNC,2026-06-16,Morning,42.25,338,94.8,0,RUNNING
M-01,CNC,2026-06-16,Night,42.14,337,97.32,0,RUNNING
M-01,CNC,2026-06-17,Afternoon,44.69,358,92.1,0,RUNNING
M-01,CNC,2026-06-17,Morning,44.0,352,93.52,0,RUNNING
M-01,CNC,2026-06-17,Night,41.81,334,97.18,0,RUNNING
M-01,CNC,2026-06-18,Afternoon,41.74,334,95.01,0,RUNNING
M-01,CNC,2026-06-18,Morning,42.35,339,94.75,0,RUNNING
M-01,CNC,2026-06-18,Night,41.26,330,97.7,0,RUNNING
M-01,CNC,2026-06-19,Afternoon,43.13,345,96.61,0,RUNNING
M-01,CNC,2026-06-19,Morning,42.45,336,94.61,0,RUNNING
M-01,CNC,2026-06-19,Night,43.02,344,97.26,0,RUNNING
M-01,CNC,2026-06-20,Afternoon,42.94,344,97.22,0,RUNNING
M-01,CNC,2026-06-20,Morning,40.96,328,94.88,0,RUNNING
M-01,CNC,2026-06-20,Night,41.97,336,96.23,0,RUNNING
M-01,CNC,2026-06-21,Afternoon,42.69,342,95.6,0,RUNNING
M-01,CNC,2026-06-21,Morning,43.61,349,94.82,0,RUNNING
M-01,CNC,2026-06-21,Night,41.73,334,98.2,0,RUNNING
M-01,CNC,2026-06-22,Afternoon,43.64,349,96.04,0,RUNNING
M-01,CNC,2026-06-22,Morning,43.04,344,97.63,0,RUNNING
M-01,CNC,2026-06-22,Night,42.86,343,95.38,0,RUNNING
M-01,CNC,2026-06-23,Afternoon,42.12,337,97.19,0,RUNNING
M-01,CNC,2026-06-23,Morning,42.41,339,95.74,0,RUNNING
M-01,CNC,2026-06-23,Night,40.97,328,100.0,0,RUNNING
M-01,CNC,2026-06-24,Afternoon,43.46,348,97.58,0,RUNNING
M-01,CNC,2026-06-24,Morning,40.73,326,93.57,0,RUNNING
M-01,CNC,2026-06-24,Night,42.79,342,97.26,0,RUNNING
M-01,CNC,2026-06-25,Afternoon,42.1,337,94.65,0,RUNNING
M-01,CNC,2026-06-25,Morning,41.98,336,94.21,0,RUNNING
M-01,CNC,2026-06-25,Night,43.23,346,95.71,0,RUNNING
M-01,CNC,2026-06-26,Afternoon,42.52,340,94.87,0,RUNNING
M-01,CNC,2026-06-26,Morning,40.96,328,95.36,0,RUNNING
M-01,CNC,2026-06-26,Night,40.96,328,96.49,0,RUNNING
M-01,CNC,2026-06-27,Afternoon,41.41,331,96.46,0,RUNNING
M-01,CNC,2026-06-27,Morning,42.31,338,94.99,0,RUNNING
M-01,CNC,2026-06-27,Night,40.18,321,93.19,0,RUNNING
M-01,CNC,2026-06-28,Afternoon,42.39,339,98.95,0,RUNNING
M-01,CNC,2026-06-28,Morning,41.09,329,95.57,0,RUNNING
M-01,CNC,2026-06-28,Night,43.08,345,95.68,0,RUNNING
M-01,CNC,2026-06-29,Afternoon,41.98,336,95.42,0,RUNNING
M-01,CNC,2026-06-29,Morning,41.98,336,93.99,0,RUNNING
M-01,CNC,2026-06-29,Night,42.41,339,94.35,0,RUNNING
M-01,CNC,2026-06-30,Afternoon,41.86,335,96.8,0,RUNNING
M-01,CNC,2026-06-30,Morning,42.65,341,99.07,0,RUNNING
M-01,CNC,2026-06-30,Night,42.87,343,95.2,0,RUNNING
M-01,CNC,2026-07-01,Afternoon,42.12,337,94.45,0,RUNNING
M-01,CNC,2026-07-01,Morning,42.28,338,96.03,0,RUNNING
M-01,CNC,2026-07-01,Night,42.03,336,97.0,0,RUNNING
M-01,CNC,2026-07-02,Afternoon,44.71,358,94.47,0,RUNNING
M-01,CNC,2026-07-02,Morning,43.83,351,97.92,0,RUNNING
M-01,CNC,2026-07-02,Night,43.1,345,96.37,0,RUNNING
M-01,CNC,2026-07-03,Afternoon,40.94,328,94.8,0,RUNNING
M-01,CNC,2026-07-03,Morning,44.76,358,94.38,0,RUNNING
M-01,CNC,2026-07-03,Night,39.32,315,94.95,0,RUNNING
M-01,CNC,2026-07-04,Afternoon,42.43,339,99.75,0,RUNNING
M-01,CNC,2026-07-04,Morning,41.04,328,96.3,0,RUNNING
M-01,CNC,2026-07-04,Night,43.2,346,94.85,0,RUNNING
M-01,CNC,2026-07-05,Afternoon,40.34,323,99.66,0,RUNNING
M-01,CNC,2026-07-05,Morning,40.87,327,95.56,0,RUNNING
M-01,CNC,2026-07-05,Night,43.49,348,95.06,0,RUNNING
M-01,CNC,2026-07-06,Afternoon,41.86,335,98.48,0,RUNNING
M-01,CNC,2026-07-06,Morning,39.84,319,98.71,0,RUNNING
M-01,CNC,2026-07-06,Night,39.99,320,94.8,0,RUNNING
M-01,CNC,2026-07-07,Afternoon,41.43,331,97.25,0,RUNNING
M-01,CNC,2026-07-07,Morning,42.01,336,96.09,0,RUNNING
M-01,CNC,2026-07-07,Night,40.65,325,95.72,0,RUNNING
M-01,CNC,2026-07-08,Afternoon,42.9,343,93.75,0,RUNNING
M-01,CNC,2026-07-08,Morning,42.15,337,97.03,0,RUNNING
M-01,CNC,2026-07-08,Night,40.07,321,98.56,0,RUNNING
M-01,CNC,2026-07-09,Afternoon,43.95,352,96.23,0,RUNNING
M-01,CNC,2026-07-09,Morning,42.42,339,94.5,0,RUNNING
M-01,CNC,2026-07-09,Night,43.49,348,96.14,0,RUNNING
M-01,CNC,2026-07-10,Afternoon,41.69,333,97.94,0,RUNNING
M-01,CNC,2026-07-10,Morning,44.6,357,99.51,0,RUNNING
M-01,CNC,2026-07-10,Night,42.81,343,98.74,0,RUNNING
M-01,CNC,2026-07-11,Afternoon,43.33,347,92.48,0,RUNNING
M-01,CNC,2026-07-11,Morning,40.78,326,97.37,0,RUNNING
M-01,CNC,2026-07-11,Night,40.51,324,91.92,0,RUNNING
M-01,CNC,2026-07-12,Afternoon,43.89,351,96.15,0,RUNNING
M-01,CNC,2026-07-12,Morning,41.66,333,97.44,0,RUNNING
M-01,CNC,2026-07-12,Night,44.05,352,93.24,0,RUNNING
M-01,CNC,2026-07-13,Afternoon,42.48,340,95.93,0,RUNNING
M-01,CNC,2026-07-13,Morning,39.85,319,95.89,0,RUNNING
M-01,CNC,2026-07-13,Night,39.4,315,95.82,0,RUNNING
M-01,CNC,2026-07-14,Afternoon,42.46,340,94.12,0,RUNNING
M-01,CNC,2026-07-14,Morning,40.36,323,97.34,0,RUNNING
M-01,CNC,2026-07-14,Night,41.35,331,93.88,0,RUNNING
M-01,CNC,2026-07-15,Afternoon,40.76,326,97.01,0,RUNNING
M-01,CNC,2026-07-15,Morning,41.92,335,97.91,0,RUNNING
M-01,CNC,2026-07-15,Night,41.33,331,94.41,0,RUNNING
M-01,CNC,2026-07-16,Afternoon,39.83,319,91.46,0,RUNNING
M-01,CNC,2026-07-16,Morning,40.37,323,91.79,0,RUNNING
M-01,CNC,2026-07-16,Night,42.89,343,93.93,0,RUNNING
M-01,CNC,2026-07-17,Afternoon,38.87,311,91.27,0,RUNNING
M-01,CNC,2026-07-17,Morning,38.18,305,92.14,0,RUNNING
M-01,CNC,2026-07-17,Night,39.72,318,93.23,0,RUNNING
M-01,CNC,2026-07-18,Afternoon,37.19,298,84.97,0,RUNNING
M-01,CNC,2026-07-18,Morning,36.9,295,88.42,0,RUNNING
M-01,CNC,2026-07-18,Night,35.8,286,92.31,0,RUNNING
M-01,CNC,2026-07-19,Afternoon,36.62,293,88.05,0,RUNNING
M-01,CNC,2026-07-19,Morning,37.78,302,86.93,0,RUNNING
M-01,CNC,2026-07-19,Night,39.33,315,89.67,0,RUNNING
M-01,CNC,2026-07-20,Afternoon,32.84,263,85.69,0,RUNNING
M-01,CNC,2026-07-20,Morning,34.37,275,83.37,0,RUNNING
M-01,CNC,2026-07-20,Night,33.72,270,82.44,0,RUNNING
M-01,CNC,2026-07-21,Afternoon,34.67,277,84.91,0,RUNNING
M-01,CNC,2026-07-21,Morning,32.36,259,80.98,0,RUNNING
M-01,CNC,2026-07-21,Night,32.99,264,86.1,0,RUNNING
M-01,CNC,2026-07-22,Afternoon,43.92,0,97.08,480,DOWN
M-01,CNC,2026-07-22,Morning,42.1,0,94.28,480,DOWN
M-01,CNC,2026-07-22,Night,40.69,0,95.62,480,DOWN
M-01,CNC,2026-07-23,Afternoon,43.17,345,99.82,0,RUNNING
M-01,CNC,2026-07-23,Morning,40.9,327,93.23,0,RUNNING
M-01,CNC,2026-07-23,Night,40.24,322,97.13,0,RUNNING
M-01,CNC,2026-07-24,Afternoon,41.25,330,94.27,0,RUNNING
M-01,CNC,2026-07-24,Morning,41.18,329,95.03,0,RUNNING
M-01,CNC,2026-07-24,Night,42.06,336,94.34,0,RUNNING
M-01,CNC,2026-07-25,Afternoon,41.7,334,94.18,0,RUNNING
M-01,CNC,2026-07-25,Morning,42.34,339,95.9,0,RUNNING
M-01,CNC,2026-07-25,Night,41.27,330,97.51,0,RUNNING
M-01,CNC,2026-07-26,Afternoon,42.13,337,97.5,0,RUNNING
M-01,CNC,2026-07-26,Morning,42.63,341,94.04,0,RUNNING
M-01,CNC,2026-07-26,Night,39.9,319,97.09,0,RUNNING
M-01,CNC,2026-07-27,Afternoon,41.04,328,92.39,0,RUNNING
M-01,CNC,2026-07-27,Morning,41.17,329,97.14,0,RUNNING
M-01,CNC,2026-07-27,Night,39.95,320,96.1,0,RUNNING
M-01,CNC,2026-07-28,Afternoon,42.8,342,92.68,0,RUNNING
M-01,CNC,2026-07-28,Morning,42.33,339,94.19,0,RUNNING
M-01,CNC,2026-07-28,Night,41.92,335,93.58,0,RUNNING
M-01,CNC,2026-07-29,Afternoon,40.92,327,95.23,0,RUNNING
M-01,CNC,2026-07-29,Morning,41.18,329,96.09,0,RUNNING
M-01,CNC,2026-07-29,Night,43.27,346,94.85,0,RUNNING
M-02,CNC,2026-05-01,Afternoon,42.67,341,98.88,0,RUNNING
M-02,CNC,2026-05-01,Morning,43.05,344,93.74,0,RUNNING
M-02,CNC,2026-05-01,Night,38.89,311,94.41,0,RUNNING
M-02,CNC,2026-05-02,Afternoon,42.47,340,94.79,0,RUNNING
M-02,CNC,2026-05-02,Morning,42.73,342,95.59,0,RUNNING
M-02,CNC,2026-05-02,Night,42.11,337,95.69,0,RUNNING
M-02,CNC,2026-05-03,Afternoon,42.43,339,95.18,0,RUNNING
M-02,CNC,2026-05-03,Morning,43.47,348,96.51,0,RUNNING
M-02,CNC,2026-05-03,Night,41.39,331,95.13,0,RUNNING
M-02,CNC,2026-05-04,Afternoon,40.85,327,98.01,0,RUNNING
M-02,CNC,2026-05-04,Morning,40.98,328,93.02,0,RUNNING
M-02,CNC,2026-05-04,Night,41.56,332,93.21,0,RUNNING
M-02,CNC,2026-05-05,Afternoon,36.62,293,89.7,0,RUNNING
M-02,CNC,2026-05-05,Morning,40.41,323,90.9,0,RUNNING
M-02,CNC,2026-05-05,Night,36.81,294,91.01,0,RUNNING
M-02,CNC,2026-05-06,Afternoon,37.87,303,89.13,0,RUNNING
M-02,CNC,2026-05-06,Morning,37.52,300,92.92,0,RUNNING
M-02,CNC,2026-05-06,Night,38.43,307,85.15,0,RUNNING
M-02,CNC,2026-05-07,Afternoon,34.4,275,89.72,0,RUNNING
M-02,CNC,2026-05-07,Morning,36.25,290,88.97,0,RUNNING
M-02,CNC,2026-05-07,Night,36.37,291,86.6,0,RUNNING
M-02,CNC,2026-05-08,Afternoon,34.69,278,85.78,0,RUNNING
M-02,CNC,2026-05-08,Morning,35.15,281,89.83,0,RUNNING
M-02,CNC,2026-05-08,Night,34.02,272,83.59,0,RUNNING
M-02,CNC,2026-05-09,Afternoon,33.07,265,82.19,0,RUNNING
M-02,CNC,2026-05-09,Morning,33.82,271,81.43,0,RUNNING
M-02,CNC,2026-05-09,Night,33.47,268,83.81,0,RUNNING
M-02,CNC,2026-05-10,Afternoon,41.66,0,94.04,480,DOWN
M-02,CNC,2026-05-10,Morning,43.31,0,94.98,480,DOWN
M-02,CNC,2026-05-10,Night,41.44,0,96.75,480,DOWN
M-02,CNC,2026-05-11,Afternoon,43.1,345,98.71,0,RUNNING
M-02,CNC,2026-05-11,Morning,42.95,344,94.16,0,RUNNING
M-02,CNC,2026-05-11,Night,42.52,340,99.75,0,RUNNING
M-02,CNC,2026-05-12,Afternoon,39.76,318,98.99,0,RUNNING
M-02,CNC,2026-05-12,Morning,41.03,328,93.51,0,RUNNING
M-02,CNC,2026-05-12,Night,42.82,343,95.89,0,RUNNING
M-02,CNC,2026-05-13,Afternoon,45.08,361,96.26,0,RUNNING
M-02,CNC,2026-05-13,Morning,42.35,339,93.75,0,RUNNING
M-02,CNC,2026-05-13,Night,42.14,337,97.45,0,RUNNING
M-02,CNC,2026-05-14,Afternoon,41.0,328,96.94,0,RUNNING
M-02,CNC,2026-05-14,Morning,42.61,341,96.45,0,RUNNING
M-02,CNC,2026-05-14,Night,44.37,355,98.69,0,RUNNING
M-02,CNC,2026-05-15,Afternoon,40.75,326,95.75,0,RUNNING
M-02,CNC,2026-05-15,Morning,44.01,352,94.98,0,RUNNING
M-02,CNC,2026-05-15,Night,42.07,337,98.19,0,RUNNING
M-02,CNC,2026-05-16,Afternoon,41.8,334,95.15,0,RUNNING
M-02,CNC,2026-05-16,Morning,39.87,319,99.06,0,RUNNING
M-02,CNC,2026-05-16,Night,40.72,326,92.69,0,RUNNING
M-02,CNC,2026-05-17,Afternoon,40.37,323,93.41,0,RUNNING
M-02,CNC,2026-05-17,Morning,43.04,344,96.15,0,RUNNING
M-02,CNC,2026-05-17,Night,41.58,333,99.34,0,RUNNING
M-02,CNC,2026-05-18,Afternoon,41.69,334,95.45,0,RUNNING
M-02,CNC,2026-05-18,Morning,41.67,333,92.99,0,RUNNING
M-02,CNC,2026-05-18,Night,38.6,309,95.89,0,RUNNING
M-02,CNC,2026-05-19,Afternoon,44.33,355,98.25,0,RUNNING
M-02,CNC,2026-05-19,Morning,41.71,334,97.39,0,RUNNING
M-02,CNC,2026-05-19,Night,41.66,333,93.79,0,RUNNING
M-02,CNC,2026-05-20,Afternoon,42.02,336,95.95,0,RUNNING
M-02,CNC,2026-05-20,Morning,45.24,362,96.12,0,RUNNING
M-02,CNC,2026-05-20,Night,42.25,338,95.71,0,RUNNING
M-02,CNC,2026-05-21,Afternoon,41.96,336,94.91,0,RUNNING
M-02,CNC,2026-05-21,Morning,41.28,330,94.91,0,RUNNING
M-02,CNC,2026-05-21,Night,41.1,329,96.21,0,RUNNING
M-02,CNC,2026-05-22,Afternoon,38.66,309,98.18,0,RUNNING
M-02,CNC,2026-05-22,Morning,41.68,333,99.01,0,RUNNING
M-02,CNC,2026-05-22,Night,43.57,349,91.85,0,RUNNING
M-02,CNC,2026-05-23,Afternoon,40.23,322,94.44,0,RUNNING
M-02,CNC,2026-05-23,Morning,41.57,333,95.26,0,RUNNING
M-02,CNC,2026-05-23,Night,40.6,325,99.5,0,RUNNING
M-02,CNC,2026-05-24,Afternoon,42.91,343,93.74,0,RUNNING
M-02,CNC,2026-05-24,Morning,43.18,345,98.54,0,RUNNING
M-02,CNC,2026-05-24,Night,41.34,331,96.98,0,RUNNING
M-02,CNC,2026-05-25,Afternoon,41.7,334,95.25,0,RUNNING
M-02,CNC,2026-05-25,Morning,40.46,324,97.43,0,RUNNING
M-02,CNC,2026-05-25,Night,42.9,343,96.89,0,RUNNING
M-02,CNC,2026-05-26,Afternoon,38.94,312,94.73,0,RUNNING
M-02,CNC,2026-05-26,Morning,39.81,319,95.82,0,RUNNING
M-02,CNC,2026-05-26,Night,40.97,328,92.88,0,RUNNING
M-02,CNC,2026-05-27,Afternoon,39.57,317,90.63,0,RUNNING
M-02,CNC,2026-05-27,Morning,38.88,311,88.5,0,RUNNING
M-02,CNC,2026-05-27,Night,37.9,303,93.1,0,RUNNING
M-02,CNC,2026-05-28,Afternoon,35.03,280,89.71,0,RUNNING
M-02,CNC,2026-05-28,Morning,35.97,288,85.68,0,RUNNING
M-02,CNC,2026-05-28,Night,35.34,283,92.01,0,RUNNING
M-02,CNC,2026-05-29,Afternoon,35.22,282,85.81,0,RUNNING
M-02,CNC,2026-05-29,Morning,32.81,263,89.39,0,RUNNING
M-02,CNC,2026-05-29,Night,34.43,275,86.8,0,RUNNING
M-02,CNC,2026-05-30,Afternoon,33.36,267,83.8,0,RUNNING
M-02,CNC,2026-05-30,Morning,33.21,266,85.71,0,RUNNING
M-02,CNC,2026-05-30,Night,32.89,263,83.39,0,RUNNING
M-02,CNC,2026-05-31,Afternoon,40.3,161,97.49,240,MAINTENANCE
M-02,CNC,2026-05-31,Morning,42.39,170,92.58,240,MAINTENANCE
M-02,CNC,2026-05-31,Night,42.22,169,95.63,240,MAINTENANCE
M-02,CNC,2026-06-01,Afternoon,41.32,331,95.63,0,RUNNING
M-02,CNC,2026-06-01,Morning,42.02,336,96.7,0,RUNNING
M-02,CNC,2026-06-01,Night,42.25,338,94.04,0,RUNNING
M-02,CNC,2026-06-02,Afternoon,43.3,346,96.95,0,RUNNING
M-02,CNC,2026-06-02,Morning,42.51,340,92.59,0,RUNNING
M-02,CNC,2026-06-02,Night,42.32,339,97.97,0,RUNNING
M-02,CNC,2026-06-03,Afternoon,39.68,317,93.44,0,RUNNING
M-02,CNC,2026-06-03,Morning,44.1,353,98.03,0,RUNNING
M-02,CNC,2026-06-03,Night,41.21,330,96.05,0,RUNNING
